Pozo,date,bppd,bapd,bsw,mscf,pres,temp,co2_frac,Cl,Na,SO4,Fe,bicarb,Ca,criticidad,mpy
SHS-137,12/16/2019,563.76,4134.24,88,34,90,208,0.07,40400,20926.25308,239,74.1,300,3440,MODERATE RISK,2.599
SHS-138,12/16/2019,670.8,4489.2,87,34,170,218,0.06,58300,30579.38728,100,46.43,290,5360,MODERATE RISK,4.489
SHS-177,12/16/2019,805,2415,75,26,190,210,0.08,59300,30439,148,100,366,5440,MODERATE RISK,1.042
SHS-165,12/16/2019,100.05,3234.95,97,35,190,175,0.05,47500,24008.5636,228,38.9,390.4,4880,LOW RISK,0.479
SHS-17,12/16/2019,293.4,4596.6,94,21,160,187,0.05,54800,27570.83568,45,95.2,250,5240,MODERATE RISK,1.525
SHS-188,12/16/2019,1217.5,3652.5,75,32,160,194,0.05,58800,29850.29328,55,82,270,5720,MODERATE RISK,1.417
AGR-33,12/17/2019,532.5,1597.5,75,91,145,200,0.05,75100,36311.07612,19,56.1,120,8600,MODERATE RISK,3.842
AGR-51,12/17/2019,255.3,434.7,63,31,120,172,0.06,29900,16507.53279,212,43,292.8,800,MODERATE RISK,3.727
AGR-42,12/17/2019,618,4532,88,44,170,220,0.05,61000,27971.28105,23,58.7,366,7840,HIGH RISK,8.667
AGR-3,12/17/2019,132.24,969.76,88,28,210,205,0.08,62300,31121.67654,71,67.3,250,6480,SEVERE RISK,21.666
AGR-40,12/17/2019,461.76,115.44,20,33.8,230,180,0.14,48900,24828.12272,81,168,480,4680,LOW RISK,0.107
AGR-5,12/17/2019,172.5,3277.5,95,22,160,203,0.08,62200,31929.20583,144,64.5,280,5880,SEVERE RISK,10.333
AGR-44,12/17/2019,386.4,5133.6,93,52,160,100,0.11,61000,32065.58442,130,50.2,390,5000,SEVERE RISK,22.095
AGR-54,12/17/2019,299.36,3442.64,92,41,190,220,0.09,98000,53245.95314,69,59.7,240,6880,MODERATE RISK,1.239
AGR-14,12/17/2019,209.2,1882.8,90,42,200,210,0.1,84600,46850.04774,126,45.5,160,5920,LOW RISK,0.124
SHS-211,12/17/2019,163,1467,90,53,260,210,0.31,7600,3336.418863,88,137.6,1525,1000,HIGH RISK,6.134
SHS-56,12/17/2019,340.2,1927.8,85,168,230,205,0.42,18900,9568.10179,177,52.3,870,2080,MODERATE RISK,1.788
SHS-71,12/17/2019,354.6,3585.4,91,132,170,193,0.25,40000,20848.38468,137,83.52,450,3760,MODERATE RISK,4.874
SHS-52,12/17/2019,119.68,424.32,78,87,198,140,0.06,35500,20212.62582,127.5,39.75,390.4,2160,LOW RISK,0.468
SHS-17,12/17/2019,120,130,52,40,160,187,0.05,54800,27570.83568,45,95.2,250,5240,MODERATE RISK,3.373
SHS-111,12/17/2019,272.8,167.2,38,36,180,148,0.09,28300,16043.64522,244,2.84,634.4,1000,MODERATE RISK,1.526
AGR-30,12/17/2019,1066.56,3781.44,78,254,180,145,0.07,67900,35071.88621,100,138.48,320,6880,MODERATE RISK,2.039
SHS-135,12/17/2019,120.4,180.6,60,62,150,157,0.28,16800,8541.06674,100,70.9,540,1840,MODERATE RISK,3.888
SHS-87,12/17/2019,1650.5,1650.5,50,95,150,160,0.25,68000,34140.60604,46,64.7,180,6600,MODERATE RISK,2.13
SHS-23,12/17/2019,411.2,2158.8,84,165,170,200,0.39,20200,11013,157,10.4,740,1440,LOW RISK,0.727
SHS-234,12/17/2019,352.8,235.2,40,232,100,137,0.1,54100,27656.7931,14,36.34,200,4880,LOW RISK,0.973
SHS-261,12/17/2019,950.88,747.12,44,148,180,154,0.09,57000,29238.58221,35,60.2,160,5760,MODERATE RISK,1.281
SHS-81,12/17/2019,368.6,601.4,62,186,130,178,0.06,59700,33725.13728,25,35,220,3240,LOW RISK,0.434
SHS-14,12/17/2019,252.6,1431.4,85,75,150,160,0.2,16800,8992.228666,195,17,930,1080,LOW RISK,0.936
SHS-139,12/17/2019,270.72,3113.28,92,216,60,187,0.75,7700,4427.206312,235,12,625,680,LOW RISK,0.038
SHS-191,12/17/2019,212.4,4035.6,95,162,170,210,0.17,5600,3288,43,3.1,1110,440,LOW RISK,0.431
SHS-73,12/17/2019,76.56,880.44,92,39,85,155,0.06,66500,36671.48234,450,55,200,5680,LOW RISK,0.103
SHS-80,12/17/2019,119.04,66.96,36,96,140,95,0.03,28000,15212.26872,34,172.1,353.8,752,MODERATE RISK,3.667
SHS-20,12/17/2019,204.93,1658.07,89,410,200,182,0.04,46300,24269.70099,173,32.7,540,4280,LOW RISK,0.257
SHS-228,12/17/2019,567.6,4592.4,89,226,195,210,0.12,9200,5480.156936,155,41.65,760,520,LOW RISK,0.713
SHS-75,12/17/2019,552.72,6356.28,92,236,120,208,0.52,7700,4327.355246,60,6.39,720,400,SEVERE RISK,14.982
SHS-82,12/17/2019,179.22,438.78,71,23,70,180,0.05,65000,34911.83602,66,111.25,260,5320,LOW RISK,0.593
SHS-23,12/17/2019,189.12,2962.88,94,322,170,200,0.21,20200,11013,157,10.4,740,1440,HIGH RISK,5.435
SHS-224,12/17/2019,120.9,809.1,87,231,55,166,0.15,46000,23844.38529,125,85.8,300,4640,MODERATE RISK,1.915
SHS-22,12/17/2019,140.4,171.6,55,47,40,170,0.14,52500,26974.86435,139,86,310,4800,LOW RISK,0.423
SHS-225,12/17/2019,262.8,1051.2,80,76,75,150,0.12,55500,29588.8987,111,47.75,280,4960,LOW RISK,0.707
SHS-221,12/17/2019,264.6,2381.4,90,222,100,192,0.38,8900,5570.39519,55,3.28,870,320,SEVERE RISK,19.963
SHS-183,12/17/2019,485.4,2750.6,85,188,120,186,0.3,6500,3379.202368,67,5.19,990,760,HIGH RISK,7.125
SHS-267,12/17/2019,288.48,2115.52,88,381,145,190,0.21,10500,6475.314847,197,4.92,1070,480,LOW RISK,0.825
SHS-68,12/17/2019,257.76,2606.24,91,226,150,185,0.05,65500,34764.56552,119,108.7,750,5400,LOW RISK,0.553
SHS-95,12/17/2019,66.15,668.85,91,185,60,180,0.23,27000,15704.08064,31,49.6,860,1560,MODERATE RISK,3.562
SHS-137,12/17/2019,563.76,4134.24,88,34,90,208,0.07,40400,20926.25308,239,74.1,300,3440,MODERATE RISK,4.366
SHS-138,12/17/2019,670.8,4489.2,87,34,170,218,0.06,58300,30579.38728,100,46.43,290,5360,MODERATE RISK,1.922
SHS-177,12/17/2019,805,2415,75,26,190,210,0.08,59300,30439,148,100,366,5440,MODERATE RISK,1.765
SHS-165,12/17/2019,100.05,3234.95,97,35,190,175,0.05,47500,24008.5636,228,38.9,390.4,4880,LOW RISK,0.03
SHS-17,12/17/2019,293.4,4596.6,94,21,160,187,0.05,54800,27570.83568,45,95.2,250,5240,MODERATE RISK,1.417
SHS-188,12/17/2019,1217.5,3652.5,75,32,160,194,0.05,58800,29850.29328,55,82,270,5720,MODERATE RISK,2.353
AGR-33,12/18/2019,532.5,1597.5,75,91,145,200,0.05,75100,36311.07612,19,56.1,120,8600,MODERATE RISK,3.726
AGR-51,12/18/2019,255.3,434.7,63,31,120,172,0.06,29900,16507.53279,212,43,292.8,800,MODERATE RISK,3.261
AGR-42,12/18/2019,618,4532,88,44,170,220,0.05,61000,27971.28105,23,58.7,366,7840,HIGH RISK,8.331
AGR-3,12/18/2019,132.24,969.76,88,28,210,205,0.08,62300,31121.67654,71,67.3,250,6480,SEVERE RISK,18.435
AGR-40,12/18/2019,461.76,115.44,20,33.8,230,180,0.14,48900,24828.12272,81,168,480,4680,LOW RISK,0.112
AGR-5,12/18/2019,172.5,3277.5,95,22,160,203,0.08,62200,31929.20583,144,64.5,280,5880,SEVERE RISK,16.728
AGR-44,12/18/2019,386.4,5133.6,93,52,160,100,0.11,61000,32065.58442,130,50.2,390,5000,SEVERE RISK,21.104
AGR-54,12/18/2019,299.36,3442.64,92,41,190,220,0.09,98000,53245.95314,69,59.7,240,6880,MODERATE RISK,1.476
AGR-14,12/18/2019,209.2,1882.8,90,42,200,210,0.1,84600,46850.04774,126,45.5,160,5920,LOW RISK,0.593
SHS-211,12/18/2019,163,1467,90,53,260,210,0.31,7600,3336.418863,88,137.6,1525,1000,HIGH RISK,8.743
SHS-56,12/18/2019,340.2,1927.8,85,168,230,205,0.42,18900,9568.10179,177,52.3,870,2080,MODERATE RISK,3.017
SHS-71,12/18/2019,354.6,3585.4,91,132,170,193,0.25,40000,20848.38468,137,83.52,450,3760,MODERATE RISK,3.013
SHS-52,12/18/2019,119.68,424.32,78,87,198,140,0.06,35500,20212.62582,127.5,39.75,390.4,2160,LOW RISK,0.161
SHS-17,12/18/2019,120,130,52,40,160,187,0.05,54800,27570.83568,45,95.2,250,5240,MODERATE RISK,4.466
SHS-111,12/18/2019,272.8,167.2,38,36,180,148,0.09,28300,16043.64522,244,2.84,634.4,1000,MODERATE RISK,1.901
AGR-30,12/18/2019,1066.56,3781.44,78,254,180,145,0.07,67900,35071.88621,100,138.48,320,6880,MODERATE RISK,2.366
SHS-135,12/18/2019,120.4,180.6,60,62,150,157,0.28,16800,8541.06674,100,70.9,540,1840,MODERATE RISK,4.829
SHS-87,12/18/2019,1650.5,1650.5,50,95,150,160,0.25,68000,34140.60604,46,64.7,180,6600,MODERATE RISK,1.574
SHS-23,12/18/2019,411.2,2158.8,84,165,170,200,0.39,20200,11013,157,10.4,740,1440,LOW RISK,0.013
SHS-234,12/18/2019,352.8,235.2,40,232,100,137,0.1,54100,27656.7931,14,36.34,200,4880,LOW RISK,0.8
SHS-261,12/18/2019,950.88,747.12,44,148,180,154,0.09,57000,29238.58221,35,60.2,160,5760,MODERATE RISK,4.98
SHS-81,12/18/2019,368.6,601.4,62,186,130,178,0.06,59700,33725.13728,25,35,220,3240,LOW RISK,0.548
SHS-14,12/18/2019,252.6,1431.4,85,75,150,160,0.2,16800,8992.228666,195,17,930,1080,LOW RISK,0.583
SHS-139,12/18/2019,270.72,3113.28,92,216,60,187,0.75,7700,4427.206312,235,12,625,680,LOW RISK,0.037
SHS-191,12/18/2019,212.4,4035.6,95,162,170,210,0.17,5600,3288,43,3.1,1110,440,LOW RISK,0.351
SHS-73,12/18/2019,76.56,880.44,92,39,85,155,0.06,66500,36671.48234,450,55,200,5680,LOW RISK,0.12
SHS-80,12/18/2019,119.04,66.96,36,96,140,95,0.03,28000,15212.26872,34,172.1,353.8,752,MODERATE RISK,4.8
SHS-20,12/18/2019,204.93,1658.07,89,398,200,182,0.04,46300,24269.70099,173,32.7,540,4280,LOW RISK,0.35
SHS-228,12/18/2019,567.6,4592.4,89,226,195,210,0.12,9200,5480.156936,155,41.65,760,520,LOW RISK,0.346
SHS-75,12/18/2019,552.72,6356.28,92,236,120,208,0.52,7700,4327.355246,60,6.39,720,400,SEVERE RISK,19.747
SHS-82,12/18/2019,179.22,438.78,71,23,70,180,0.05,65000,34911.83602,66,111.25,260,5320,LOW RISK,0.994
SHS-23,12/18/2019,189.12,2962.88,94,322,170,200,0.21,20200,11013,157,10.4,740,1440,HIGH RISK,8.907
SHS-224,12/18/2019,120.9,809.1,87,231,55,166,0.15,46000,23844.38529,125,85.8,300,4640,MODERATE RISK,1.023
SHS-22,12/18/2019,140.4,171.6,55,47,40,170,0.14,52500,26974.86435,139,86,310,4800,LOW RISK,0.574
SHS-225,12/18/2019,262.8,1051.2,80,76,75,150,0.12,55500,29588.8987,111,47.75,280,4960,LOW RISK,0.714
SHS-221,12/18/2019,264.6,2381.4,90,222,100,192,0.38,8900,5570.39519,55,3.28,870,320,SEVERE RISK,22.069
SHS-183,12/18/2019,485.4,2750.6,85,188,120,186,0.3,6500,3379.202368,67,5.19,990,760,HIGH RISK,7.625
SHS-267,12/18/2019,288.48,2115.52,88,381,145,190,0.21,10500,6475.314847,197,4.92,1070,480,LOW RISK,0.15
SHS-68,12/18/2019,257.76,2606.24,91,226,150,185,0.05,65500,34764.56552,119,108.7,750,5400,LOW RISK,0.422
SHS-95,12/18/2019,66.15,668.85,91,185,60,180,0.23,27000,15704.08064,31,49.6,860,1560,MODERATE RISK,3.519
SHS-137,12/18/2019,563.76,4134.24,88,34,90,208,0.07,40400,20926.25308,239,74.1,300,3440,MODERATE RISK,3.82
SHS-138,12/18/2019,670.8,4489.2,87,34,170,218,0.06,58300,30579.38728,100,46.43,290,5360,MODERATE RISK,1.29
SHS-177,12/18/2019,805,2415,75,26,190,210,0.08,59300,30439,148,100,366,5440,MODERATE RISK,3.312
SHS-165,12/18/2019,100.05,3234.95,97,35,190,175,0.05,47500,24008.5636,228,38.9,390.4,4880,LOW RISK,0.971
SHS-17,12/18/2019,293.4,4596.6,94,21,160,187,0.05,54800,27570.83568,45,95.2,250,5240,MODERATE RISK,1.178
SHS-188,12/18/2019,1217.5,3652.5,75,32,160,194,0.05,58800,29850.29328,55,82,270,5720,MODERATE RISK,1.679
AGR-33,12/19/2019,532.5,1597.5,75,91,145,200,0.05,75100,36311.07612,19,56.1,120,8600,MODERATE RISK,1.292
AGR-51,12/19/2019,255.3,434.7,63,31,120,172,0.06,29900,16507.53279,212,43,292.8,800,MODERATE RISK,3.342
AGR-42,12/19/2019,618,4532,88,44,170,220,0.05,61000,27971.28105,23,58.7,366,7840,HIGH RISK,5.037
AGR-3,12/19/2019,132.24,969.76,88,28,210,205,0.08,62300,31121.67654,71,67.3,250,6480,SEVERE RISK,23.468
AGR-40,12/19/2019,461.76,115.44,20,33.8,230,180,0.14,48900,24828.12272,81,168,480,4680,LOW RISK,0.638
AGR-5,12/19/2019,172.5,3277.5,95,22,160,203,0.08,62200,31929.20583,144,64.5,280,5880,SEVERE RISK,23.078
AGR-44,12/19/2019,386.4,5133.6,93,52,160,100,0.11,61000,32065.58442,130,50.2,390,5000,SEVERE RISK,12.066
AGR-54,12/19/2019,299.36,3442.64,92,41,190,220,0.09,98000,53245.95314,69,59.7,240,6880,MODERATE RISK,2.314
AGR-14,12/19/2019,209.2,1882.8,90,42,200,210,0.1,84600,46850.04774,126,45.5,160,5920,LOW RISK,0.472
SHS-211,12/19/2019,163,1467,90,53,260,210,0.31,7600,3336.418863,88,137.6,1525,1000,HIGH RISK,8.505
SHS-56,12/19/2019,340.2,1927.8,85,168,230,205,0.42,18900,9568.10179,177,52.3,870,2080,MODERATE RISK,1.524
SHS-71,12/19/2019,354.6,3585.4,91,132,170,193,0.25,40000,20848.38468,137,83.52,450,3760,MODERATE RISK,3.885
SHS-52,12/19/2019,119.68,424.32,78,87,198,140,0.06,35500,20212.62582,127.5,39.75,390.4,2160,LOW RISK,0.244
SHS-17,12/19/2019,120,130,52,40,160,187,0.05,54800,27570.83568,45,95.2,250,5240,MODERATE RISK,1.148
SHS-111,12/19/2019,272.8,167.2,38,36,180,148,0.09,28300,16043.64522,244,2.84,634.4,1000,MODERATE RISK,3.828
AGR-30,12/19/2019,1066.56,3781.44,78,254,180,145,0.07,67900,35071.88621,100,138.48,320,6880,MODERATE RISK,4.379
SHS-135,12/19/2019,120.4,180.6,60,62,150,157,0.28,16800,8541.06674,100,70.9,540,1840,MODERATE RISK,2.741
SHS-87,12/19/2019,1650.5,1650.5,50,95,150,160,0.25,68000,34140.60604,46,64.7,180,6600,MODERATE RISK,2.033
SHS-23,12/19/2019,411.2,2158.8,84,165,170,200,0.39,20200,11013,157,10.4,740,1440,LOW RISK,0.763
SHS-234,12/19/2019,352.8,235.2,40,232,100,137,0.1,54100,27656.7931,14,36.34,200,4880,LOW RISK,0.68
SHS-261,12/19/2019,950.88,747.12,44,148,180,154,0.09,57000,29238.58221,35,60.2,160,5760,MODERATE RISK,4.785
SHS-81,12/19/2019,368.6,601.4,62,186,130,178,0.06,59700,33725.13728,25,35,220,3240,LOW RISK,0.349
SHS-14,12/19/2019,252.6,1431.4,85,75,150,160,0.2,16800,8992.228666,195,17,930,1080,LOW RISK,0.551
SHS-139,12/19/2019,270.72,3113.28,92,216,60,187,0.75,7700,4427.206312,235,12,625,680,LOW RISK,0.517
SHS-191,12/19/2019,212.4,4035.6,95,162,170,210,0.17,5600,3288,43,3.1,1110,440,LOW RISK,0.892
SHS-73,12/19/2019,76.56,880.44,92,39,85,155,0.06,66500,36671.48234,450,55,200,5680,LOW RISK,0.353
SHS-80,12/19/2019,119.04,66.96,36,96,140,95,0.03,28000,15212.26872,34,172.1,353.8,752,MODERATE RISK,1.844
SHS-20,12/19/2019,204.93,1658.07,89,398,200,182,0.04,46300,24269.70099,173,32.7,540,4280,LOW RISK,0.984
SHS-228,12/19/2019,567.6,4592.4,89,226,195,210,0.12,9200,5480.156936,155,41.65,760,520,LOW RISK,0.664
SHS-75,12/19/2019,552.72,6356.28,92,236,120,208,0.52,7700,4327.355246,60,6.39,720,400,SEVERE RISK,19.721
SHS-82,12/19/2019,179.22,438.78,71,23,70,180,0.05,65000,34911.83602,66,111.25,260,5320,LOW RISK,0.319
SHS-23,12/19/2019,189.12,2962.88,94,322,170,200,0.21,20200,11013,157,10.4,740,1440,HIGH RISK,7.8
SHS-224,12/19/2019,120.9,809.1,87,75,55,166,0.15,46000,23844.38529,125,85.8,300,4640,MODERATE RISK,2.775
SHS-22,12/19/2019,140.4,171.6,55,47,40,170,0.14,52500,26974.86435,139,86,310,4800,LOW RISK,0.576
SHS-225,12/19/2019,262.8,1051.2,80,74,75,150,0.12,55500,29588.8987,111,47.75,280,4960,LOW RISK,0.972
SHS-221,12/19/2019,264.6,2381.4,90,224,100,192,0.38,8900,5570.39519,55,3.28,870,320,SEVERE RISK,14.297
SHS-183,12/19/2019,485.4,2750.6,85,188,120,186,0.3,6500,3379.202368,67,5.19,990,760,HIGH RISK,9.333
SHS-267,12/19/2019,288.48,2115.52,88,381,145,190,0.21,10500,6475.314847,197,4.92,1070,480,LOW RISK,0.483
SHS-68,12/19/2019,257.76,2606.24,91,226,150,185,0.05,65500,34764.56552,119,108.7,750,5400,LOW RISK,0.882
SHS-95,12/19/2019,66.15,668.85,91,185,60,180,0.23,27000,15704.08064,31,49.6,860,1560,MODERATE RISK,4.734
SHS-137,12/19/2019,563.76,4134.24,88,34,90,208,0.07,40400,20926.25308,239,74.1,300,3440,MODERATE RISK,2.716
SHS-138,12/19/2019,670.8,4489.2,87,34,170,218,0.06,58300,30579.38728,100,46.43,290,5360,MODERATE RISK,1.253
SHS-177,12/19/2019,805,2415,75,26,190,210,0.08,59300,30439,148,100,366,5440,MODERATE RISK,1.887
SHS-165,12/19/2019,100.05,3234.95,97,35,190,175,0.05,47500,24008.5636,228,38.9,390.4,4880,LOW RISK,0.395
SHS-17,12/19/2019,293.4,4596.6,94,21,160,187,0.05,54800,27570.83568,45,95.2,250,5240,MODERATE RISK,4.898
SHS-188,12/19/2019,1217.5,3652.5,75,32,160,194,0.05,58800,29850.29328,55,82,270,5720,MODERATE RISK,2.915
AGR-33,12/20/2019,532.5,1597.5,75,91,145,200,0.05,75100,36311.07612,19,56.1,120,8600,MODERATE RISK,1.982
AGR-51,12/20/2019,255.3,453.6,63,31,120,172,0.06,29900,16507.53279,212,43,292.8,800,MODERATE RISK,4.03
AGR-42,12/20/2019,618,4523.2,88,44,170,220,0.05,61000,27971.28105,23,58.7,366,7840,HIGH RISK,8.567
AGR-3,12/20/2019,132.24,969.76,88,28,210,205,0.08,62300,31121.67654,71,67.3,250,6480,SEVERE RISK,20.548
AGR-40,12/20/2019,461.76,115.44,20,33.8,230,180,0.14,48900,24828.12272,81,168,480,4680,LOW RISK,0.432
AGR-5,12/20/2019,172.5,2850,95,22,160,203,0.08,62200,31929.20583,144,64.5,280,5880,SEVERE RISK,21.209
AGR-44,12/20/2019,386.4,5115,93,52,160,100,0.11,61000,32065.58442,130,50.2,390,5000,SEVERE RISK,13.746
AGR-54,12/20/2019,299.36,3442.64,92,41,190,220,0.09,98000,53245.95314,69,59.7,240,6880,MODERATE RISK,1.998
AGR-14,12/20/2019,209.2,1877.4,90,42,200,210,0.1,84600,46850.04774,126,45.5,160,5920,LOW RISK,0.576
SHS-211,12/20/2019,163,1476,90,53,260,210,0.31,7600,3336.418863,88,137.6,1525,1000,HIGH RISK,8.99
SHS-56,12/20/2019,340.2,1921.85,85,168,230,205,0.42,18900,9568.10179,177,52.3,870,2080,MODERATE RISK,2.964
SHS-71,12/20/2019,354.6,3549,91,132,170,193,0.25,40000,20848.38468,137,83.52,450,3760,MODERATE RISK,2.586
SHS-52,12/20/2019,119.68,421.2,78,87,198,140,0.06,35500,20212.62582,127.5,39.75,390.4,2160,LOW RISK,0.683
SHS-17,12/20/2019,120,130,52,40,160,187,0.05,54800,27570.83568,45,95.2,250,5240,MODERATE RISK,1.495
SHS-111,12/20/2019,272.8,163.4,38,36,180,148,0.09,28300,16043.64522,244,2.84,634.4,1000,MODERATE RISK,2.993
AGR-30,12/20/2019,1066.56,3781.44,78,254,180,145,0.07,67900,35071.88621,100,138.48,320,6880,MODERATE RISK,3.759
SHS-135,12/20/2019,120.4,180,60,62,150,157,0.28,16800,8541.06674,100,70.9,540,1840,MODERATE RISK,2.939
SHS-87,12/20/2019,1650.5,1649,50,95,150,160,0.25,68000,34140.60604,46,64.7,180,6600,MODERATE RISK,4.497
SHS-23,12/20/2019,411.2,2272.2,84,165,170,200,0.39,20200,11013,157,10.4,740,1440,LOW RISK,0.74
SHS-234,12/20/2019,352.8,235.2,40,232,100,137,0.1,54100,27656.7931,14,36.34,200,4880,LOW RISK,0.343
SHS-261,12/20/2019,950.88,747.12,44,148,180,154,0.09,57000,29238.58221,35,60.2,160,5760,MODERATE RISK,2.681
SHS-81,12/20/2019,368.6,674.56,62,186,130,178,0.06,59700,33725.13728,25,35,220,3240,LOW RISK,0.576
SHS-14,12/20/2019,252.6,1431.4,85,75,150,160,0.2,16800,8992.228666,195,17,930,1080,LOW RISK,0.519
SHS-139,12/20/2019,270.72,3113.28,92,216,60,187,0.75,7700,4427.206312,235,12,625,680,LOW RISK,0.378
SHS-191,12/20/2019,212.4,4035.6,95,162,170,210,0.17,5600,3288,43,3.1,1110,440,LOW RISK,0.969
SHS-73,12/20/2019,76.56,880.44,92,39,85,155,0.06,66500,36671.48234,450,55,200,5680,LOW RISK,0.445
SHS-80,12/20/2019,119.04,66.96,36,96,140,95,0.03,28000,15212.26872,34,172.1,353.8,752,MODERATE RISK,3.314
SHS-20,12/20/2019,204.93,1840.52,89,398,200,182,0.04,46300,24269.70099,173,32.7,540,4280,LOW RISK,0.396
SHS-228,12/20/2019,567.6,4592.4,89,226,195,210,0.12,9200,5480.156936,155,41.65,760,520,LOW RISK,0.745
SHS-75,12/20/2019,552.72,6356.28,92,236,120,208,0.52,7700,4327.355246,60,6.39,720,400,SEVERE RISK,19.878
SHS-82,12/20/2019,179.22,438.78,71,23,70,180,0.05,65000,34911.83602,66,111.25,260,5320,LOW RISK,0.683
SHS-23,12/20/2019,189.12,2962.88,94,322,170,200,0.21,20200,11013,157,10.4,740,1440,HIGH RISK,8.241
SHS-224,12/20/2019,120.9,809.1,87,75,55,166,0.15,46000,23844.38529,125,85.8,300,4640,MODERATE RISK,3.6
SHS-22,12/20/2019,140.4,182.05,55,47,40,170,0.14,52500,26974.86435,139,86,310,4800,LOW RISK,0.587
SHS-225,12/20/2019,262.8,1222.4,80,74,75,150,0.12,55500,29588.8987,111,47.75,280,4960,LOW RISK,0.786
SHS-221,12/20/2019,264.6,2381.4,90,224,100,192,0.38,8900,5570.39519,55,3.28,870,320,SEVERE RISK,10.284
SHS-183,12/20/2019,485.4,2750.6,85,188,120,186,0.3,6500,3379.202368,67,5.19,990,760,HIGH RISK,5.732
SHS-267,12/20/2019,288.48,2115.52,88,381,145,190,0.21,10500,6475.314847,197,4.92,1070,480,LOW RISK,0.248
SHS-68,12/20/2019,257.76,2606.24,91,226,150,185,0.05,65500,34764.56552,119,108.7,750,5400,LOW RISK,0.071
SHS-95,12/20/2019,66.15,673.4,91,185,60,180,0.23,27000,15704.08064,31,49.6,860,1560,MODERATE RISK,4.133
SHS-137,12/20/2019,563.76,4134.24,88,34,90,208,0.07,40400,20926.25308,239,74.1,300,3440,MODERATE RISK,1.663
SHS-138,12/20/2019,670.8,4489.2,87,34,170,218,0.06,58300,30579.38728,100,46.43,290,5360,MODERATE RISK,3.506
SHS-177,12/20/2019,805,2415,75,26,190,210,0.08,59300,30439,148,100,366,5440,MODERATE RISK,1.831
SHS-165,12/20/2019,100.05,3234.95,97,35,190,175,0.05,47500,24008.5636,228,38.9,390.4,4880,LOW RISK,0.938
SHS-17,12/20/2019,293.4,4596.6,94,21,160,187,0.05,54800,27570.83568,45,95.2,250,5240,MODERATE RISK,3.225
SHS-188,12/20/2019,1217.5,3652.5,75,32,160,194,0.05,58800,29850.29328,55,82,270,5720,MODERATE RISK,3.555
AGR-33,12/21/2019,532.5,1597.5,75,91,145,200,0.05,75100,36311.07612,19,56.1,120,8600,MODERATE RISK,2.628
AGR-51,12/21/2019,255.3,434.7,63,31,120,172,0.06,29900,16507.53279,212,43,292.8,800,MODERATE RISK,2.576
AGR-42,12/21/2019,618,4532,88,44,170,220,0.05,61000,27971.28105,23,58.7,366,7840,HIGH RISK,5.142
AGR-3,12/21/2019,132.24,969.76,88,28,210,205,0.08,62300,31121.67654,71,67.3,250,6480,SEVERE RISK,12.193
AGR-40,12/21/2019,461.76,115.44,20,33.8,230,180,0.14,48900,24828.12272,81,168,480,4680,LOW RISK,0.774
AGR-5,12/21/2019,172.5,3277.5,95,22,160,203,0.08,62200,31929.20583,144,64.5,280,5880,SEVERE RISK,20.029
AGR-44,12/21/2019,386.4,5133.6,93,52,160,100,0.11,61000,32065.58442,130,50.2,390,5000,SEVERE RISK,14.466
AGR-54,12/21/2019,299.36,3442.64,92,41,190,220,0.09,98000,53245.95314,69,59.7,240,6880,MODERATE RISK,3.821
AGR-14,12/21/2019,209.2,1882.8,90,42,200,210,0.1,84600,46850.04774,126,45.5,160,5920,LOW RISK,0.713
SHS-211,12/21/2019,163,1467,90,53,260,210,0.31,7600,3336.418863,88,137.6,1525,1000,HIGH RISK,7.85
SHS-56,12/21/2019,340.2,1927.8,85,168,230,205,0.42,18900,9568.10179,177,52.3,870,2080,MODERATE RISK,4.897
SHS-71,12/21/2019,354.6,3585.4,91,132,170,193,0.25,40000,20848.38468,137,83.52,450,3760,MODERATE RISK,4.517
SHS-52,12/21/2019,119.68,424.32,78,87,198,140,0.06,35500,20212.62582,127.5,39.75,390.4,2160,LOW RISK,0.123
SHS-17,12/21/2019,120,130,52,40,160,187,0.05,54800,27570.83568,45,95.2,250,5240,MODERATE RISK,2.713
SHS-111,12/21/2019,272.8,167.2,38,36,180,148,0.09,28300,16043.64522,244,2.84,634.4,1000,MODERATE RISK,4.912
AGR-30,12/21/2019,1066.56,3781.44,78,254,180,145,0.07,67900,35071.88621,100,138.48,320,6880,MODERATE RISK,4.63
SHS-135,12/21/2019,120.4,180.6,60,62,150,157,0.28,16800,8541.06674,100,70.9,540,1840,MODERATE RISK,4.742
SHS-87,12/21/2019,1650.5,1650.5,50,95,150,160,0.25,68000,34140.60604,46,64.7,180,6600,MODERATE RISK,2.582
SHS-23,12/21/2019,411.2,2158.8,84,165,170,200,0.39,20200,11013,157,10.4,740,1440,LOW RISK,0.528
SHS-234,12/21/2019,352.8,235.2,40,232,100,137,0.1,54100,27656.7931,14,36.34,200,4880,LOW RISK,0.356
SHS-261,12/21/2019,950.88,747.12,44,148,180,154,0.09,57000,29238.58221,35,60.2,160,5760,MODERATE RISK,3.87
SHS-81,12/21/2019,368.6,601.4,62,186,130,178,0.06,59700,33725.13728,25,35,220,3240,LOW RISK,0.332
SHS-14,12/21/2019,252.6,1431.4,85,75,150,160,0.2,16800,8992.228666,195,17,930,1080,LOW RISK,0.568
SHS-139,12/21/2019,270.72,3113.28,92,214,60,187,0.75,7700,4427.206312,235,12,625,680,LOW RISK,0.336
